Eviction ID,Address,City,State,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Shape,data_as_of,data_loaded_at,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,Fix It Zones as of 2018-02-07,Neighborhoods
M181909,1300 Block Of Market Street,San Francisco,CA,94102,06/25/2018,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,,6,Tenderloin,"(37.777083316, -122.416979514)",POINT (-122.416979514 37.777083316),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,21,5,10,36,36,2,9,7,28852,8,1,2,1,,21
M191591,3000 Block Of Sacramento Street,San Francisco,CA,94115,07/12/2019,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,2,Pacific Heights,"(37.788729696, -122.443129712)",POINT (-122.443129712 37.788729696),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,102,8,6,30,27,6,1,13,29490,,,1,,,102
M181628,2900 Block Of Franklin Street,San Francisco,CA,94123,05/23/2018,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,05/18/2023,2,Marina,"(37.801574968, -122.426347044)",POINT (-122.426347044 37.801574968),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,17,4,6,13,17,9,1,13,57,,,1,,,17
M171767,100 Block Of Arch Street,San Francisco,CA,94132,07/10/2017,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,10/05/2022,11,Oceanview/Merced/Ingleside,"(37.71334804, -122.467014367)",POINT (-122.467014367 37.71334804),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,65,10,1,24,24,8,6,9,64,,,2,,,65
M220290,1500 Block Of California Street,San Francisco,CA,94109,02/22/2022,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,3,Nob Hill,"(37.790628923, -122.419850856)",POINT (-122.419850856 37.790628923),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,105,4,3,21,21,9,10,13,28858,10,,1,,,105
M153350,1300 Block Of 11th Avenue,San Francisco,CA,94122,12/07/2015,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Inner Sunset,"(37.763015092, -122.46831698)",POINT (-122.46831698 37.763015092),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,109,10,11,14,12,8,11,1,56,,,1,,,109
M161651,1400 Block Of Shafter Avenue,San Francisco,CA,94124,05/16/2016,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,10,Bayview Hunters Point,"(37.729494231, -122.387879447)",POINT (-122.387879447 37.729494231),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,86,2,9,1,1,3,8,10,58,,,2,,,86
E982213,900 Block Of Innes Avenue,San Francisco,CA,94124,09/18/1998,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,10,Bayview Hunters Point,"(37.732738318, -122.377183548)",POINT (-122.377183548 37.732738318),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,78,2,9,1,1,3,8,10,58,,,2,,,78
M200171,1200 Block Of 47th Avenue,San Francisco,CA,94122,01/24/2020,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,4,Sunset/Parkside,"(37.76317384, -122.507265411)",POINT (-122.507265411 37.76317384),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,39,10,7,35,35,8,3,1,56,,,1,,,39
E990105,800 Block Of Ofarrell Street,San Francisco,CA,94109,01/20/1999,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Tenderloin,"(37.78500949, -122.418713807)",POINT (-122.418713807 37.78500949),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,20,5,10,36,36,9,9,7,28858,,1,2,1,,20
M163088,300 Block Of Eddy Street,San Francisco,CA,94102,09/26/2016,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Tenderloin,"(37.783730041, -122.413753669)",POINT (-122.413753669 37.783730041),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,20,5,10,36,36,10,9,7,28852,6,1,2,1,18,20
M201369,2600 Block Of Vicente Street,San Francisco,CA,94116,09/21/2020,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,,4,Sunset/Parkside,"(37.738504343, -122.495258659)",POINT (-122.495258659 37.738504343),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,39,10,7,35,35,8,3,1,29491,,,1,,,39
