"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","population_proper","density","source","incorporated","timezone","zips","id"
"Bar Nunn","Bar Nunn","WY","Wyoming","56025","Natrona","42.9220","-106.3475","2785","2785","512","polygon","True","America/Denver","82601","1840020060"
"Kinnear","Kinnear","WY","Wyoming","56013","Fremont","43.1519","-108.6776","","","32.8","point","False","America/Denver","82501","1840038330"
"Woods Landing","Woods Landing","WY","Wyoming","56001","Albany","41.1105","-106.0133","","","6.0","point","False","America/Denver","82063","1840038405"
"Moose Wilson Road","Moose Wilson Road","WY","Wyoming","56039","Teton","43.5315","-110.8340","","","427.0","polygon","False","America/Denver","83014","1840038434"
"Parkerton","Parkerton","WY","Wyoming","56009","Converse","42.8511","-105.9731","","","1.0","point","False","America/Denver","82637","1840038380"
"McFadden","McFadden","WY","Wyoming","56007","Carbon","41.6544","-106.1306","","","5.2","point","False","America/Denver","82083","1840038415"
"Table Rock","Table Rock","WY","Wyoming","56037","Sweetwater","41.6220","-108.4040","","","0.0","polygon","False","America/Denver","82901","1840018693"
"Powder River","Powder River","WY","Wyoming","56025","Natrona","43.0490","-106.9932","","","13.4","polygon","False","America/Denver","82604 82648","1840018657"
"Moose","Moose","WY","Wyoming","56039","Teton","43.6558","-110.7183","","","27.6","point","False","America/Denver","83012","1840038336"
"Esterbrook","Esterbrook","WY","Wyoming","56009","Converse","42.4061","-105.3858","","","6.3","polygon","False","America/Denver","82633","1840017444"
"Garland","Garland","WY","Wyoming","56029","Park","44.7777","-108.6542","","","33.2","polygon","False","America/Denver","82435","1840017425"
"Owl Creek","Owl Creek","WY","Wyoming","56017","Hot Springs","43.7819","-108.5679","","","0.0","polygon","False","America/Denver","82443","1840018631"
"Carpenter","Carpenter","WY","Wyoming","56021","Laramie","41.0456","-104.3644","","","147.1","polygon","False","America/Denver","82054","1840024139"
"Pinedale","Pinedale","WY","Wyoming","56035","Sublette","42.8680","-109.8710","1895","1895","338","polygon","True","America/Denver","82941","1840022361"
"Allendale","Allendale","WY","Wyoming","56025","Natrona","42.8147","-106.3106","","","43.1","point","False","America/Denver","82601","1840038314"
"Edgerton","Edgerton","WY","Wyoming","56025","Natrona","43.4141","-106.2477","197","197","300","polygon","True","America/Denver","82635","1840021289"
"Smoot","Smoot","WY","Wyoming","56023","Lincoln","42.6191","-110.9196","","","76.9","polygon","False","America/Denver","83126","1840018660"
"Fairview","Fairview","WY","Wyoming","56023","Lincoln","42.6871","-110.9866","","","54.1","polygon","False","America/Denver","83110 83119","1840017453"
"Chugcreek","Chugcreek","WY","Wyoming","56031","Platte","42.0535","-104.9079","","","136.7","polygon","False","America/Denver","82201","1840038427"
"Arapahoe","Arapahoe","WY","Wyoming","56013","Fremont","42.9911","-108.4562","","","42.4","polygon","False","America/Denver","82510 82501","1840017433"
"Banner","Banner","WY","Wyoming","56033","Sheridan","44.6014","-106.8653","","","1.7","point","False","America/Denver","82832","1840038358"
"Wheatland","Wheatland","WY","Wyoming","56031","Platte","42.0516","-104.9595","3563.0","3606","339","polygon","True","America/Denver","82201","1840022368"
"Evanston","Evanston","WY","Wyoming","56041","Uinta","41.2602","-110.9646","11755.0","12090","453","polygon","True","America/Denver","82930 82931","1840020122"
"Thermopolis","Thermopolis","WY","Wyoming","56017","Hot Springs","43.6479","-108.2139","3218.0","2937","475","polygon","True","America/Denver","82443","1840022353"
"Sheridan","Sheridan","WY","Wyoming","56033","Sheridan","44.7949","-106.9611","19335.0","17954","632","polygon","True","America/Denver","82801","1840021243"
"Farson","Farson","WY","Wyoming","56037","Sweetwater","42.1528","-109.4283","","","40.7","polygon","False","America/Denver","82932","1840017465"
"Leiter","Leiter","WY","Wyoming","56033","Sheridan","44.7180","-106.2692","","","6.2","point","False","America/Denver","82837","1840038371"
"Hanna","Hanna","WY","Wyoming","56007","Carbon","41.8698","-106.5596","812","812","153","polygon","True","America/Denver","82327","1840021314"
"Riverton","Riverton","WY","Wyoming","56013","Fremont","43.0416","-108.4125","12705.0","10997","424","polygon","True","America/Denver","82501","1840020026"
"Fort Washakie","Fort Washakie","WY","Wyoming","56013","Fremont","43.0069","-108.9205","","","180.7","polygon","False","America/Denver","82514 82520","1840017436"
"Hillsdale","Hillsdale","WY","Wyoming","56021","Laramie","41.2080","-104.4744","","","52.8","polygon","False","America/Denver","82060","1840024140"
"Paradise Valley","Paradise Valley","WY","Wyoming","56025","Natrona","42.8175","-106.3984","","","1331.7","point","False","America/Denver","82604","1840038340"
"Hoback","Hoback","WY","Wyoming","56039","Teton","43.3082","-110.7443","","","1.0","polygon","False","America/Denver","83001","1840017430"
